Topic,Subtopic,Synonyms or related subtopics
Resource Use and Circularity,,"Materials efficiency, materials sourcing, lifecycle, end of life, recycled content, reclaimed, "
Packaging ,,
Product Design,,product innovation
Supplier ESG Management,,
,Supply Chain Environmental Impacts,
,Supply Chain Social Impacts,
Product Health and Safety,,
,Product Health and Nutrition,
,Product Quality and Safety,
Marketing and Labeling,,
Biodiversity and Land Use,,
,Biodiversity,
,Deforestation,
Climate Change Impacts,,
GHG Emissions,,
Air Quality,,
Waste,,
Water and Wastewater,,
"Diversity, Equity and Inclusion",,"employee, DEI"
,Supplier DEI,
Human and Labor Rights,,
Talent and Training,,
Employee Health and Safety,,"EHS, OSHA"
Data Security and Privacy,,"cyber"
Food Waste and Security,,
Community Engagement,,"philanthropy, charity, giving, volunteer"
Governing Body,,"board of directors, committee, council"
,Composition of Governing Body,
,Quality of Governing Body,
ESG Oversight,,
,Material Topics,
Ethics and Compliance,,"code of conduct, grievances, ethical"
,Anti-corruption,
,Anti-trust,
,Non-compliance,
,Conflicts of Interest,
,Lobbying,
Economic Contribution,,
Tax Transparency,,
Value of Sustainable Innovation ,,
